title,director,cast,country,release_year,adult,duration,genres,description
A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo","Alan C. Lim, Taron C. Hensley, Maisie Benson, Kerry Gudjohnsen, Paul Killam, Smith Foreman, Ann Kendrick, Ella Joy Ballesteros, Neena-Sinaii Simpo, Eli Morse",United States,2020,0,22 min,"Children, Family","When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone."
Bhool Bhulaiyaa,Priyadarshan,"Akshay Kumar, Vidya Balan, Ameesha Patel, Shiney Ahuja, Paresh Rawal, Rajpal Yadav, Manoj Joshi, Asrani, Vikram Gokhale, Rasika Joshi",India,2007,0,148 min,"Drama, International , Thriller","Siddharth dismisses warnings that his palace might be haunted, until ghostly occurrences force him to reconsider his beliefs."
Bill Hicks: One Night Stand,John Fortenberry,Bill Hicks,United Kingdom,1991,1,28 min,StandUpComedy,"Bill Hicks remembers a wild night in 1989 and offers his views on puffing cigarettes, smoking weed, drinking, sex, commercials and music."
Brave Little Toaster to the Rescue,Robert Ramirez,"Deanna Oliver, Tim Stack, Jon Lovitz, Thurl Ravenscroft, Phil Hartman, Jay Mohr",United States,1999,0,75 min,"Action, Adventure, Animation",The gang tries to save their animal pals from being sent to a testing lab.
Christmas Wedding Planner,Justin G. Dyck,"Stephen Huszar, Kelly Rutherford",Canada,2017,0,86 min,"Comedy, International , Romantic",A wedding planner’s world is turned upside down when a handsome private investigator is hired to disrupt one of her biggest jobs.
Class Rank,Eric Stoltz,"Olivia Holt, Skyler Gisondo, Kristin Chenoweth, Bruce Dern, Nick Krause, Kathleen Chalfant, Peter Maloney, Rod McLachlan, Hawn Tran, Danni Wang",United States,2018,1,103 min,Comedy,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system."
Daniel Sosa: Maleducado,"Alex Díaz, Marcos Bucay",Daniel Sosa,Mexico,2019,1,55 min,StandUpComedy,"In his second stand-up special, Daniel Sosa reminisces about his childhood, ponders Mexican traditions and points out a major problem with 'Coco.'"
Disney Avalon High,Stuart Gillard,"Britt Robertson, Gregg Sulkin, Joey Pollari, Devon Graye, Molly Quinn, Don Lake",United States,2010,0,91 min,"Coming of Age, Fantasy",Allie is convinced that her new high school is a contemporary Camelot.
Geez & Ann,Rizki Balki,"Hanggini, Junior Roberts, Roy Sungkono, Shenina Cinnamon, Ashira Zamita, Amel Carla, Davina Karamoy, Naimma Aljufri, Andi Viola, Jasmine Elfira Burhan, Kezia Aletheia, Dewi Rezer, Ersa Mayori, Indra Brasco, Bobby Samuel, Ady Sky, Farhan Rasyid",Indonesia,2021,0,106 min,"Drama, International , Romantic","After falling for Geez, a heartthrob at school, Ann must confront family opposition, heartache and deception as their romance struggles."
Insan,K. Subhash,"Akshay Kumar, Ajay Devgn, Tusshar Kapoor, Esha Deol, Lara Dutta, Laila, Rahul Dev, Koena Mitra, Archana Puran Singh, Sharat Saxena",India,2005,0,141 min,"Action, Adventure, Drama, International","A grieving policeman and a rickshaw driver are brought together by a dark, tragic secret that will change their lives forever."
Katherine Ryan: In Trouble,Colin Dench,Katherine Ryan,United Kingdom,2017,1,64 min,StandUpComedy,"Stand-up comic Katherine Ryan reminisces about unusual relationships, life in the hometown she hates and the time she enraged an entire nation."
Khido Khundi,Rohit Jugraj,"Ranjit Bawa, Mandy Takhar, Manav Vij, Elnaaz Norouzi, Mahavir Bhullar, Guggu Gill, Seema Kaushal, Sukhbir Singh",India,2018,0,151 min,"Drama, International , Sports",An embittered former hockey star must engage with the sport again to help his brother assemble a team for a momentous match against the British.
LEGO Star Wars: The New Yoda Chronicles – Escape from the Jedi Temple,Michael Hegner,"Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Sam Vincent, Kelly Metzger",United States,2014,0,24 min,"Action, Adventure, Animation, Comedy",Yoda and Obi-Wan recall freeing the Holocrons from the Temple.
Milk,Gus Van Sant,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce",United States,2008,1,128 min,"Drama, Independent , LGBTQ","Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978."
Prem Ratan Dhan Payo,Sooraj R. Barjatya,"Salman Khan, Sonam Kapoor, Anupam Kher, Neil Nitin Mukesh, Sanjay Mishra, Swara Bhaskar, Deepak Dobriyal, Arman Kohli, Manoj Joshi, Samaira Rao, Karuna Pandey, Sucheta Khanna",India,2015,0,164 min,"Action, Adventure, Drama, International","While recovering from an assassination attempt four days prior to his coronation, a stern prince is replaced by a joyful and generous doppelgänger."
Radiopetti,Hari Viswanath,"Lakshmanan, TVV Ramanujam, Shobana, Nivas Adithan, Indhumathi, Baby Maya, Master Rohan",India,2015,0,83 min,"Drama, International","An elderly, hearing-impaired Indian man stays connected to the world of the past through the beloved valve radio he has owned since childhood."
Rajnigandha,Basu Chatterjee,"Vidya Sinha, Amol Palekar, Dinesh Thakur, Ranjita Thakur, Veena Gaud, Manju Maini",India,1974,0,104 min,"Comedy, Drama, Independent","A grad student leaves her boyfriend in Delhi for a job interview in Mumbai, where she reconnects with an old flame for whom she still has feelings."
Romantik Komedi,Ketche,"Sedef Avcı, Cemal Hünal, Begüm Kütük, Engin Altan Düzyatan, Sinem Kobal, Gürgen Öz, Burcu Kara, Kubilay Penbeklioğlu",Turkey,2010,1,110 min,"Comedy, International , Romantic","Bored with her life and inspired by a friend's wedding, Esra quits her job and dumps her boyfriend, leading to a series of romantic misadventures."
Star Wars: The Empire Strikes Back (Episode V),Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Williams, Anthony Daniels, David Prowse",United States,1980,0,127 min,"Action, Adventure, Sci-Fi",Luke Skywalker trains as a Jedi and confronts Darth Vader.
The 8th Night,Kim Tae-hyung,"Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum, Choi Jin-ho, Kim Dong-yeong, Lee Eal",South Korea,2021,0,116 min,"Horror , International , Thriller","With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth."
The Boss Baby: Get That Baby!,"Dan Forgione, Pete Jacobs, Matt Whitlock","JP Karliak, Pierce Gagnon, Alex Cazares, Kevin Michael Richardson, Flula Borg, Rhys Darby, Wendie Malick, Jake Green",United States,2020,0,115 min,"Children, Family , Comedy",Think you've got what it takes to be the boss? This interactive special puts your skills to the test and matches you up with one of 16 jobs at Baby Corp.
The Kissing Booth 3,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young, Stephen Jennings","United Kingdom, United States",2021,0,114 min,"Comedy, Romantic","Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee."
The Love Guru,Marco Schnabel,"Mike Myers, Jessica Alba, Justin Timberlake, Ben Kingsley, Romany Malco, Meagan Good, Verne Troyer, Omid Djalili, Telma Hopkins","United Kingdom, Germany, United States",2008,0,87 min,"Comedy, Sports","Raised on an ashram in India, a self-styled love guru returns to his native America to settle a romantic rivalry between two pro hockey players."
The Package,Jake Szymanski,"Daniel Doheny, Geraldine Viswanathan, Luke Spencer Roberts, Eduardo Franco, Sadie Calvano",United States,2018,1,95 min,Comedy,"After their buddy suffers an unfortunate accident during spring break, four pals risk everything – including their dignity – to make him whole again."
Tomorrowland,Brad Bird,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Tim McGraw, Kathryn Hahn","United States, Spain, France, Canada, United Kingdom",2015,0,131 min,"Action, Adventure, Sci-Fi",A jaded genius and an optimistic teen unearth the secrets of Tomorrowland.
Ultras,Francesco Lettieri,"Aniello Arena, Antonia Truppo, Ciro Nacca, Simone Borelli, Daniele Vicorito, Salvatore Pelliccia",Italy,2020,1,109 min,"Drama, International , Sports",An aging soccer fanatic faces down the reality of his past while struggling to give himself and a young follower very different futures.
Underdog,Frederik Du Chau,"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger",United States,2007,0,85 min,"Action, Adventure, Family, Parody",A super-powered beagle tries to save Capital City from a mad scientist.
What Lies Beneath,Robert Zemeckis,"Harrison Ford, Michelle Pfeiffer, Diana Scarwid, Joe Morton, James Remar, Miranda Otto, Wendy Crewson, Ray Baker, Micole Mercurio, Amber Valletta, Sloane Shelton",United States,2000,0,130 min,"Horror , Thriller","When Claire Spencer starts hearing ghostly voices and seeing spooky images, her husband tries to reassure her by telling her it's all in her head."
Wreck-It Ralph,Rich Moore,"John Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch, Alan Tudyk, Mindy Kaling",United States,2012,0,103 min,"Action, Adventure, Animation, Comedy",Ralph sets out to prove that he is a true hero in his arcade.
Young Adult,Jason Reitman,"Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser, Jill Eikenberry, Mary Beth Hurt, Collette Wolfe, Richard Bekins, Kate Nowlin",United States,2011,1,94 min,"Comedy, Drama, Independent","When a divorced writer gets a letter from an old boyfriend announcing his wife's had a baby, she returns to her hometown to reconnect with her ex."
20th Century Women,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Lucas Jade Zumann, Billy Crudup",United States,2016,1,119 min,"Drama, Independent","In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him."
Becoming,Nadia Hallgren,Michelle Obama,United States,2020,0,89 min,Documentary,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with 'Becoming.'"
Die Ontwaking,Johnny Breedt,"Gys de Villiers, Juanita de Villiers, Gérard Rudolf, Paul Eilers, Pete Spyropoulos, Jaco Muller, Armand Aucamp, Christine Tesco",South Africa,2015,1,90 min,"International , Thriller",An inexperienced murder detective joins a desperate search for a deranged serial killer who possesses a deep obsession with young women’s skin.
Fat Ballerina - David A. Arnold,Milton Horowitz,David A. Arnold,United States,2020,1,61 min,StandUpComedy,"Finally comfortable in his skin, seasoned comic David A. Arnold shares his talent for doing nothing, how he's petty and why divorce saves marriages."
Gone are the Days,Mark Landre Gould,"Lance Henriksen, Tom Berenger, Meg Steedle, Danny Trejo",United States,2018,1,100 min,Independent,"As a notorious outlaw comes to grips with his past, he reconnects with his estranged daughter and gets one more shot to make things right."
Good Game: The Beginning,Umut Aral,"Mert Yazıcıoğlu, Afra Saraçoğlu, Yiğit Kirazcı, Orkun Işıtmak, Bahar Şahin, Tolga Canbeyli, Bada Oh Deniz, Hakan Kurtaş, Doğaç Yildiz",Turkey,2018,0,115 min,"Drama, International , Sports",New high school grad and avid gamer Cenk is recruited to an intense esports team that trains for a tournament with a life-changing prize.
Haseena Maan Jaayegi,David Dhawan,"Sanjay Dutt, Govinda, Karisma Kapoor, Pooja Batra, Kader Khan, Paresh Rawal, Satish Kaushik, Aruna Irani, Anupam Kher, Ashish Vidyarthi, Aashif Sheikh, Asrani, Razak Khan, Shakti Kapoor, Bindu, Mahavir Shah, Mohan Joshi, Anil Dhawan",India,1999,0,151 min,"Action, Adventure, Comedy, Drama","A millionaire opens the door to comic complications when he punishes his spoiled sons for trying to make money through shady, get-rich-quick schemes."
Jack and the Cuckoo-Clock Heart,"Mathias Malzieu, Stéphane Berla","Orlando Seale, Samantha Barks, Harry Sadeghi, Stephane Cornicard, Jessie Buckley, Sophia Ellis, Barbara Scaff, Michelle Fairley, Richard Ridings, Howard Samuels","France, Belgium",2013,0,93 min,"Children, Family , Music, Musical","Equipped with a mechanical heart and determined to stay out of death's shadow, young Jack understands that love could prove fatal."
Kristy,Oliver Blackburn,"Haley Bennett, Ashley Greene, Erica Ash, Lucas Till, Chris Coy, Al Vicente, Wayne Pére, Jon Arthur, Mike Seal",United States,2013,0,85 min,Horror,"Opting to stay on campus over the Thanksgiving holiday, coed Justine and a handful of friends find their break violently disrupted by a sadistic gang."
Legend,Brian Helgeland,"Tom Hardy, Emily Browning, David Thewlis, Duffy, Christopher Eccleston, Chazz Palminteri, Paul Bettany, Taron Egerton, Colin Morgan, Tara Fitzgerald","United Kingdom, France, United States",2015,1,132 min,"Drama, International , Thriller",Identical twins and notorious gangsters Reggie and Ronnie Kray elude the authorities in 1960s London while transfixing and terrifying the public.
Meghnadbodh Rohoshyo,Anik Datta,"Barun Chanda, Sabyasachi Chakraborty",India,2017,1,150 min,"Drama, International","A professor mysteriously vanishes, leaving behind a host of suspects, a shadowy history and a clue: the anonymous birthday gift of a Bengali classic."
Minutemen,Lev Spiro,"Jason Dolley, Luke Benward, Nicholas Braun, Chelsea Staub, Steven McQueen, Kara Crane",United States,2008,0,91 min,"Action, Adventure, Comedy, Sci-Fi",Three teen outcasts invent a time machine to save their social lives.
One-Way to Tomorrow,Ozan Açıktan,"Dilan Çiçek Deniz, Metin Akdülger",Turkey,2020,1,90 min,"Drama, International , Romantic","Two strangers cross paths on a train en route to Izmir, bonding over their turbulent — and unexpectedly intertwined — romantic pasts."
P.S. I Love You,Richard LaGravenese,"Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon, James Marsters, Kathy Bates, Harry Connick Jr., Nellie McKay, Jeffrey Dean Morgan, Dean Winters",United States,2007,0,126 min,"Drama, Romantic","When she loses her beloved husband to a brain tumor, grieving widow Holly Kennedy learns that he left a series of letters behind to help her cope."
Sliver,Phillip Noyce,"Sharon Stone, William Baldwin, Tom Berenger, Polly Walker, Colleen Camp, Amanda Foreman, Martin Landau, CCH Pounder, Nina Foch, Keene Curtis",United States,1993,1,107 min,Thriller,"A divorcée moves into a high-rise with a sordid past and begins a steamy affair with her neighbor, unaware that her every move is being monitored."
The Last Paradiso,Rocco Ricciardulli,"Riccardo Scamarcio, Gaia Bermani Amaral, Valentina Cervi, Antonio Gerardi, Federica Torchetti, Anna Maria de Luca, Lucia Zotti, Nicoletta Carbonara, Donato Placido, Mimmo Mignemi",Italy,2020,1,107 min,"Drama, International , Romantic","In 1950s Italy, a passionate free spirit dreams of love, justice and a better life till a forbidden affair threatens everything. Based on real events."
The Last Thing He Wanted,Dee Rees,"Anne Hathaway, Ben Affleck, Willem Dafoe, Toby Jones, Rosie Perez, Edi Gathegi, Mel Rodriguez, Onata Aprile",United States,2020,1,116 min,"Drama, Thriller",A hard-hitting reporter becomes entangled in the story she’s trying to break when she helps her ailing father broker an arms deal in Central America.
The Lost Husband,Vicky Wight,"Leslie Bibb, Josh Duhamel, Nora Dunn, Sharon Lawrence, Callie Hope Haverda, Roxton Garcia",United States,2020,0,110 min,"Drama, Romantic","Looking to start anew, a widow retreats with her children to her aunt's goat farm, where the ranch's manager helps her navigate country life and loss."
Uncut Gems,"Josh Safdie, Benny Safdie","Adam Sandler, LaKeith Stanfield, Kevin Garnett, Julia Fox, Idina Menzel, Eric Bogosian, Judd Hirsch, Abel Tesfaye",United States,2019,1,135 min,"Drama, Thriller","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive."
Vodka Diaries,Kushal Srivastava,"Kay Kay Menon, Raima Sen, Mandira Bedi, Sharib Hashmi, Rishi Bhutani, Herry Tangri, Vaishnavi Dhanraj, Swati Rajput",India,2018,0,113 min,"Drama, International , Thriller","While investigating a series of murders and the nightclub that links them, a detective’s case takes an alarming turn when his wife goes missing."
We Are Family,Sidharth Malhotra,"Kajol, Kareena Kapoor, Arjun Rampal, Nominath Ginsberg, Iravati Harshe, Aachal Munjal, Diya Sonecha","India, Australia",2010,0,119 min,"Drama, International",A divorced mother of three children runs a happy household – until her former husband brings his new career-oriented girlfriend into the picture.
We Are Your Friends,Max Joseph,"Zac Efron, Wes Bentley, Emily Ratajkowski, Jonny Weston, Shiloh Fernandez, Alex Shaffer, Jon Bernthal, Alicia Coppola, Wiley M. Pickett, Jon Abrahams","United Kingdom, France, United States",2015,1,96 min,"Drama, Independent , Music, Musical",An ambitious young DJ who knows how to work a crowd puts everything at risk for a budding relationship with his mentor's girlfriend.
X-Men Origins: Wolverine,Gavin Hood,"Hugh Jackman, Liev Schreiber, Danny Huston, will.i.am , Lynn Collins, Kevin Durand","United States, United Kingdom",2009,0,108 min,"Action, Adventure, Family, Sci-Fi",Wolverine unites with legendary X-Men to fight against forces determined to eliminate mutants.
Zozo,Josef Fares,"Imad Creidi, Antoinette Turk, Elias Gergi, Carmen Lebbos, Viktor Axelsson, Charbel Iskandar, Yasmine Awad","Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",2005,1,99 min,"Drama, International","When Lebanon's Civil War deprives Zozo of his family, he's left with grief and little means as he escapes to Sweden in search of his grandparents."
30 Minutes or Less,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward",United States,2011,1,83 min,"Action, Adventure, Comedy",Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.
A Russell Peters Christmas,Henry Sarwer-Foner,"Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange",Canada,2011,0,44 min,StandUpComedy,"Inspired by the variety shows of the 1970s, 'A Russell Peters Christmas' is a sweet, silly, sentimental and, most of all, funny Christmas special."
Anjaan,N. Linguswamy,"Suriya, Samantha Ruth Prabhu, Vidyut Jammwal, Manoj Bajpayee, Soori",India,2014,0,146 min,"Action, Adventure, Drama, International","Mild-mannered Krishna comes to Mumbai to search for his gang-leader brother, and quickly finds himself in way over his head."
Arango y Sanint: Ríase el show,"Raúl Campos, Jan Suter","Julián Arango, Antonio Sanint",Colombia,2018,1,62 min,StandUpComedy,"Colombian stand-up comedians Antonio Sanint and Julián Arango impersonate an Argentine visitor and a cabbie, and a pair of dirty old men at the opera."
Chasing the Dragon,"Wong Jing, Jason Kwan","Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang","Hong Kong, China",2017,1,129 min,"Action, Adventure, Drama, International","In corrupt, British-colonized Hong Kong, a mainland Chinese immigrant rises to the top of the city's drug underworld with the help of a notorious cop."
China Salesman,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",China,2017,1,111 min,"Action, Adventure, International",A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.
College Road Trip,Roger Kumble,"Martin Lawrence, Raven-Symoné , Donny Osmond, Brenda Song, Will Sasso, Eshaya Draper",United States,2008,0,84 min,"Comedy, Coming of Age, Family",An overprotective dad joins his daughter in search of the perfect college.
Dil Se,Mani Ratnam,"Shah Rukh Khan, Manisha Koirala, Preity Zinta, Raghuvir Yadav, Zohra Sehgal, Sabyasachi Chakraborty, Piyush Mishra, Krishnakant, Aditya Srivastava",India,1998,0,166 min,"Drama, International , Romantic",A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.
ETs Among Us: UFO Witnesses and Whistleblowers,Cybela Clare,"JIM MARRS, PAUL HELLYER, CLIFFORD STONE, NICK POPE, DAVID JACOBS, WENDELLE C. STEVENS, MICHAEL SALLA, JACQUES VALLEE, RICHARD DOLAN, DAVID HATCHER CHILDRESS",United States,2016,0,91 min,Special Interest,"This documentary exposes political motivations for the government's coverup of UFO phenomena: underground bases, reverse engineering of crashed UFOs, NASA's shocking evidence of intelligent alien life, and a history of an ongoing alien presence on Earth."
Emo the Musical,Neil Triffett,"Benson Jack Anthony, Jordan Hare, Rahart Adams, Jon Prasida, Lucy Barrett, Ben Bennett, Craig Hyde-Smith, Geraldine Viswanathan, Kevin Clayette, Bridie Carter",Australia,2016,1,94 min,"Drama, International , Music, Musical","Expelled from private school for attempted suicide, emo Ethan enters the world of Seymour High and meets a cute Christian who's ready to convert him."
Hedgehogs,Huang Jianming,"Anthony Padilla, Ian Hecox, Jenn McAllister, Jon Heder, Chevy Chase","United States, China",2016,0,94 min,"Children, Family","When a hedgehog suffering from memory loss forgets his identity, he ends up on a big city journey with a pigeon to save his habitat from a human threat."
High School Musical 3: Senior Year,Kenny Ortega,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel, Corbin Bleu, Monique Coleman",United States,2008,0,121 min,"Coming of Age, Family, Musical","Troy, Gabriella and the rest of the East High kids take on senior year."
Jo Koy: In His Elements,Michael McKay,"Jo Koy, Andrew Lopez, Joey Guila, Andrew Orolfo",United States,2020,1,55 min,StandUpComedy,"Jo Koy brings the laughs and beats to Manila, spotlighting local culture in a one-of-a-kind show featuring Filipino American comedians, DJs and B-boys."
Last Ferry,Jaki Bradley,"Ramón O. Torres, Sheldon Best, Myles Clohessy, Larry Owens, Gabriel Sloyer",United States,2019,1,86 min,"Drama, Independent , LGBTQ","Seeking romance and friendship, a young gay lawyer travels to Fire Island in the off-season and is soon on the run after witnessing a murder."
Love Jacked,Alfons Adetuyi,"Amber Stevens West, Shamier Anderson, Keith David, Mike Epps, Lyriq Bent, Marla Gibbs, Angela Gibbs, Demetrius Grosse, Nicole Lyn","Canada, South Africa",2018,0,94 min,"Comedy, International , Romantic","To assert her independence from her rigid father’s expectations, a headstrong woman hires a desperate Los Angeles man to pose as her fiancé in Africa."
Marvel Studios' Captain Marvel,"Anna Boden, Ryan Fleck","Brie Larson, Samuel Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch","United States, Australia",2019,0,126 min,"Action, Adventure, Sci-Fi, Superhero",Marvel Studios’ Captain Marvel launches the MCU’s most powerful hero.
Morti's Law,Marcel Wohlfahrt,"Michael Marwitz, Patrick Loose, Stefan Müller-Doriat, Toni Cyran, Nicolas Szent, Carmen Jahrstorfer",Germany,2018,0,20 min,"Comedy, Drama",Two unequal detectives need to solve the mysterious murder case of a hotel manager. But the deeper they dig the more both of them realize that the case has gotten much more personally then they thought.
Once In A Lifetime Sessions with Nile Rodgers,Charlie Lightening,Nile Rodgers,United States,2018,0,70 min,"Documentary, Music, Musical",The career of rhythm guitarist and Chic founder Nile Rodgers is chronicled in this musical blend of documentary and original concert performance.
Once a Gangster,Felix Chong,"Ekin Cheng, Jordan Chan, Alex Fong, Michelle Ye, On-on Yu, Wilfred Lau, Conroy Chan",Hong Kong,2010,1,95 min,"Action, Adventure, Comedy, International","Two former triads are tapped to run in an election for leader of the underworld, but both want normal lives. Each must outwit the other to lose."
Rajma Chawal,Leena Yadav,"Rishi Kapoor, Anirudh Tanwar, Amyra Dastur, Jitendra Shastri, Aparshakti Khurana, Harish Khanna, Manu Rishi Chadha, Nirmal Rishi, Sheeba Chaddha, Adil Hussain, Rahul Ram, Mukesh Chhabra",India,2018,1,119 min,"Comedy, Drama, International","Hoping to revive his relationship with his resentful millennial son, an internet-rookie widower assumes the online persona of a young woman."
Secrets of the Tower of London,Vicky Matthews,Samuel West,United Kingdom,2013,0,55 min,Documentary,"Explore the storied history of the iconic Tower of London as it evolved from a royal castle into a dungeon prison and, finally, an armory and mint."
Shootout at Lokhandwala,Apoorva Lakhia,"Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Arbaaz Khan, Abhishek Bachchan, Vivek Oberoi, Tusshar Kapoor, Rohit Roy, Shabbir Ahluwalia, Dia Mirza, Amrita Singh, Neha Dhupia",India,2007,1,116 min,"Action, Adventure, Drama, International","Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
Sohni Mahiwal,"Latif Faiziyev, Umesh Mehra","Zeenat Aman, Pran, Tanuja, Poonam Dhillon","India, Soviet Union",1984,0,160 min,"Drama, International , Romantic","After being violently separated from the woman he loves, a young man must disguise himself in order to keep meeting her."
The Man Who Would Be Polka King,"John Mikulak, Joshua Brown","Jan Lewan, Greg Korin",United States,2009,0,68 min,"Documentary, Music, Musical",This irreverent documentary reveals how charming entertainer Jan Lewan bilked investors out of millions in a complicated investment scam.
The Wedding Guest,Michael Winterbottom,"Dev Patel, Radhika Apte, Jim Sarbh",United Kingdom,2018,1,97 min,"Drama, Romantic , Thriller","Hired to extract a bride-to-be before her arranged wedding in Pakistan, a hired gun goes on the run with his hostage when his plan unravels."
The Whole Nine Yards,Jonathan Lynn,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet, Kevin Pollak, Harland Williams, Carmen Ferland, Serge Christianssens",United States,2000,1,99 min,"Action, Adventure, Comedy",An unhappily married dentist becomes mixed up with mobsters and murder plots when he discovers that a notorious hit man has moved in next door.
True: Wuzzle Wegg Day,"Todd Kauffman, Mark Thornton","Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux",Canada,2020,0,24 min,"Children, Family","Spring has sprung in Rainbow City, and Wuzzle Wegg Day is right around the corner! But Bartleby's convinced that a Wegg-stealing monster is on the loose."
Warda,Hadi El Bagoury,"Nada Al Alfi, Bassel El Kadi, Samira Maqroun, Tareq Abdalla, Ahmed Awni, Emad Ghoniem, Abeer Mansour, Youssef Mohamed",Egypt,2014,0,73 min,"Horror , Independent , International","When an aspiring documentarian returns to his hometown to investigate paranormal happenings, his girlfriend's mental health takes a troubling turn."
Babes in Toyland,Jack Donohue,"Ray Bolger, Tommy Sands, Annette Funicello, Ed Wynn, Tommy Kirk, Kevin Corcoran",United States,1961,0,106 min,"Family, Fantasy, Musical",Villainous Barnaby tries to spoil Tom Piper and Mary Contrary's wedding.
Barça Dreams,Jordi Llompart,"Johan Cruyff, Andrés Iniesta, Gary Lineker, Xavi Hernández, Lionel Messi, Pau Gasol",Spain,2015,1,122 min,"Documentary, International , Sports",Explore the history and philosophies behind one of the world's most beloved – and successful – soccer franchises: FC Barcelona.
Chashme Baddoor,David Dhawan,"Rishi Kapoor, Ali Zafar, Taapsee Pannu, Siddharth, Divyendu Sharma, Anupam Kher, Bharati Achrekar, Lillete Dubey, Ayaz Khan",India,2013,0,121 min,"Comedy, International , Music, Musical","When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds."
Company,Ram Gopal Varma,"Ajay Devgn, Vivek Oberoi, Mohanlal, Manisha Koirala, Seema Biswas, Antara Mali, Akash Khurana, Madan Joshi, Vijay Raaz, Rajpal Yadav",India,2002,1,137 min,"Action, Adventure, Drama, International","Following a misunderstanding, a gangster and his boss part ways and become bitter enemies – with devastating consequences."
David Brent: Life on the Road,Ricky Gervais,"Ricky Gervais, Doc Brown, Tom Basden, Jo Hartley, Tom Bennett, Andrew Brooke, Nina Sosanya, Andy Burrows, Kevin Bishop, Roisin Conaty, Diane Morgan, Ashley McGuire, Alexander Arnold, Mandeep Dhillon","United Kingdom, United States",2016,1,97 min,"Comedy, International , Music, Musical","With 'The Office' long in the past, middling salesman David Brent ditches work and goes on tour with his rock band in a disastrous stab at stardom."
Disney Descendants,Kenny Ortega,"Dove Cameron, Cameron Boyce, Booboo Stewart, Sofia Carson, Mitchell Hope, Melanie Paxson",United States,2015,0,114 min,"Coming of Age, Fantasy, Musical",The kids of Disney villains are given a shot at redemption at Auradon Prep.
Dries,Reiner Holzemer,Dries Van Noten,"Germany, Belgium",2017,0,89 min,"Documentary, International",This documentary explores the intense passion and distinctive talent that make Dries Van Noten one of the most unique fashion designers in the world.
